,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Vaini,-21.2,-175.2,66.36,100,20,1.14,TO,1654284469
1,Punta Arenas,-53.15,-70.9167,41.11,60,75,16.11,CL,1654284278
2,Jamestown,42.097,-79.2353,71.73,31,40,12.66,US,1654284470
3,Dillon,34.4166,-79.3712,90.23,38,75,6.64,US,1654284470
4,Iracoubo,5.4802,-53.2011,76.41,90,100,12.73,GF,1654284470
5,Bethel,41.3712,-73.414,75.92,62,0,4.61,US,1654284471
6,Provideniya,64.3833,-173.3,48.31,61,100,4.07,RU,1654284416
7,Ushuaia,-54.8,-68.3,44.26,49,40,20.71,AR,1654284471
8,Skellefteå,64.7507,20.9528,55.99,64,75,3.44,SE,1654284472
9,Vao,-22.6667,167.4833,70.7,64,6,12.1,NC,1654284472
10,Palāsa,18.7667,84.4167,80.58,95,100,7.4,IN,1654284472
11,Clyde River,70.4692,-68.5914,35.83,87,0,9.22,CA,1654284284
12,Kavieng,-2.5744,150.7967,80.83,75,69,10.63,PG,1654284280
13,Dosso,13.049,3.1937,99.57,20,16,6.51,NE,1654284473
14,New Norfolk,-42.7826,147.0587,44.33,87,100,1.01,AU,1654284281
15,Kontagora,10.3999,5.4695,76.87,70,100,15.03,NG,1654284474
16,Busselton,-33.65,115.3333,55.54,72,74,7.87,AU,1654284289
17,Thompson,55.7435,-97.8558,41.16,81,100,11.5,CA,1654284399
18,Kavaratti,10.5669,72.642,83.07,71,100,20.4,IN,1654284385
19,Bluff,-46.6,168.3333,38.8,79,67,10.98,NZ,1654284299
20,Mount Gambier,-37.8333,140.7667,47.71,93,94,7.11,AU,1654284413
21,Mahébourg,-20.4081,57.7,75.49,73,75,13.8,MU,1654284305
22,Saskylakh,71.9167,114.0833,37.31,99,100,4.83,RU,1654284275
23,Disna,55.568,28.1971,51.46,93,27,7.2,BY,1654284475
24,Mataura,-46.1927,168.8643,38.48,96,80,2.66,NZ,1654284475
25,Whitehorse,60.7161,-135.0538,69.94,21,20,0.0,CA,1654284475
26,Longyearbyen,78.2186,15.6401,48.04,76,0,9.22,SJ,1654284327
27,Rikitea,-23.1203,-134.9692,76.62,74,100,14.23,PF,1654284281
28,Kapaa,22.0752,-159.319,77.56,78,0,8.05,US,1654284476
29,Kahului,20.8947,-156.47,80.8,65,40,11.5,US,1654284346
30,Tasiilaq,65.6145,-37.6368,35.76,71,1,7.52,GL,1654284372
31,Namatanai,-3.6667,152.4333,79.18,82,32,5.35,PG,1654284192
32,Cape Town,-33.9258,18.4232,54.99,88,75,1.99,ZA,1654284306
33,Labuhan,-6.8844,112.2051,76.86,88,88,6.85,ID,1654284388
34,Lødingen,68.414,15.9951,51.87,89,100,7.05,NO,1654284477
35,Upernavik,72.7868,-56.1549,32.94,88,99,12.33,GL,1654284338
36,Saint-Philippe,-21.3585,55.7679,74.79,75,38,13.04,RE,1654284370
37,Nikolskoye,59.7035,30.7861,54.82,92,100,5.5,RU,1654284319
38,Sechura,-5.5569,-80.8222,76.87,56,98,10.51,PE,1654284478
39,Palu,-0.8917,119.8707,74.82,97,100,3.4,ID,1654284478
40,Coquimbo,-29.9533,-71.3436,62.33,48,0,4.61,CL,1654284324
41,Ayr,55.4627,-4.6339,60.75,55,20,16.11,GB,1654284478
42,Lincoln,40.8,-96.667,83.01,35,0,6.91,US,1654284321
43,Tomatlán,19.9333,-105.25,88.47,44,6,10.6,MX,1654284479
44,Nyrob,60.733,56.7202,47.44,50,0,9.71,RU,1654284479
45,Chapais,49.7834,-74.8492,53.38,77,100,8.3,CA,1654284363
46,Butaritari,3.0707,172.7902,80.13,75,31,4.65,KI,1654284378
47,Berbera,10.4396,45.0143,86.92,71,16,8.32,SO,1654284480
48,Sandnessjøen,66.0217,12.6316,48.31,100,75,5.75,NO,1654284480
49,Ossora,59.2353,163.0719,47.82,58,38,2.42,RU,1654284427
50,Yaan,7.3833,8.5667,79.56,74,100,3.98,NG,1654284481
51,Klaksvík,62.2266,-6.589,50.92,78,100,8.9,FO,1654284336
52,Vostok,46.4856,135.8833,42.67,89,100,3.09,RU,1654284481
53,Albany,42.6001,-73.9662,76.41,40,2,1.99,US,1654284418
54,Buraidah,26.326,43.975,90.05,7,0,9.82,SA,1654284481
55,Hobart,-42.8794,147.3294,46.56,83,100,8.05,AU,1654284310
56,Salé,34.0389,-6.8166,70.32,73,40,9.22,MA,1654284478
57,Ribeira Grande,38.5167,-28.7,66.6,94,75,5.75,PT,1654284344
58,Bengkulu,-3.8004,102.2655,76.06,87,99,4.52,ID,1654284358
59,Castro,-24.7911,-50.0119,56.55,90,99,8.25,BR,1654284286
60,Qaanaaq,77.484,-69.3632,26.44,69,95,6.08,GL,1654284300
61,Severo-Kuril'sk,50.6789,156.125,41.76,90,81,8.01,RU,1654284305
62,Eyl,7.9803,49.8164,78.78,79,24,25.28,SO,1654284483
63,Djibouti,11.5,42.5,85.46,46,100,15.55,DJ,1654284483
64,Wairoa,-39.0333,177.3667,50.56,92,100,1.99,NZ,1654284483
65,Zhigansk,66.7697,123.3711,53.37,75,58,9.62,RU,1654284291
66,Fortuna Foothills,32.6578,-114.4119,97.95,19,0,14.97,US,1654284379
67,Batemans Bay,-35.7167,150.1833,47.1,87,11,5.68,AU,1654284487
68,São Miguel dos Campos,-9.7811,-36.0936,80.1,86,85,6.49,BR,1654284488
69,Nome,64.5011,-165.4064,48.27,76,0,8.05,US,1654284223
70,Teya,60.3778,92.6267,35.67,85,100,4.0,RU,1654284489
71,Fortuna,40.5982,-124.1573,59.76,93,75,8.05,US,1654284411
72,Atuona,-9.8,-139.0333,77.04,80,21,13.91,PF,1654284277
73,Los Llanos de Aridane,28.6585,-17.9182,66.13,81,75,18.41,ES,1654284394
74,Ballina,-28.8667,153.5667,60.01,99,98,10.36,AU,1654284489
75,Sørland,67.667,12.6934,50.58,90,9,13.94,NO,1654284424
76,Denpasar,-8.65,115.2167,78.46,94,40,1.14,ID,1654284490
77,Namuac,18.6109,121.1657,79.09,85,28,4.79,PH,1654284490
78,Nekā,36.6508,53.299,72.07,40,0,3.4,IR,1654284491
79,Nishihara,26.1842,127.7558,76.71,100,100,4.61,JP,1654284434
80,Vadinsk,53.6916,43.0574,62.8,97,100,11.1,RU,1654284491
81,Puerto Ayora,-0.7393,-90.3518,75.54,89,95,8.99,EC,1654284031
82,Arraial do Cabo,-22.9661,-42.0278,73.26,78,75,14.97,BR,1654284312
83,Mitsamiouli,-11.3847,43.2844,79.05,72,1,8.14,KM,1654284492
84,Margate,51.3813,1.3862,58.26,83,84,7.0,GB,1654284335
85,Siniscola,40.5719,9.6922,74.75,79,31,2.64,IT,1654284493
86,Cherskiy,68.75,161.3,33.82,63,87,10.71,RU,1654284339
87,Dvinskoy,62.1535,45.1175,66.22,50,100,12.75,RU,1654284494
88,Olafsvik,64.8945,-23.7142,43.5,72,100,15.1,IS,1654284494
89,Port Alfred,-33.5906,26.891,65.39,33,80,8.21,ZA,1654284275
90,Saint Paul Harbor,57.79,-152.4072,60.31,51,0,4.61,US,1654284315
91,Yangi Marg`ilon,40.4272,71.7189,72.32,40,75,6.91,UZ,1654284305
92,Barcani,45.7,26.0833,63.99,86,32,2.66,RO,1654284495
93,Ayagoz,47.9714,80.4392,54.95,37,8,4.9,KZ,1654284495
94,Basse,52.5518,9.5069,68.76,54,0,6.91,DE,1654284496
95,Tuatapere,-46.1333,167.6833,39.0,88,91,4.65,NZ,1654284365
96,Santa Rosa de Aguán,15.95,-85.7167,87.82,75,100,17.9,HN,1654284496
97,Quzhou,28.9594,118.8686,73.11,97,100,1.36,CN,1654284496
98,Deshnok,27.7986,73.3447,90.82,14,4,13.0,IN,1654284497
99,Tiksi,71.6872,128.8694,37.72,96,100,6.24,RU,1654284414
100,Hermanus,-34.4187,19.2345,57.63,80,99,4.25,ZA,1654284299
101,Nizhneangarsk,55.7833,109.55,44.96,86,100,3.24,RU,1654284497
102,Laas,46.6166,10.7002,62.67,96,98,2.75,IT,1654284498
103,Saldanha,-33.0117,17.9442,53.65,80,100,12.03,ZA,1654284423
104,Pierre,44.3683,-100.351,76.77,26,0,12.66,US,1654284498
105,Faanui,-16.4833,-151.75,78.49,78,100,8.37,PF,1654284342
106,Adrar,20.5022,-10.0711,93.6,21,94,20.07,MR,1654284499
107,Guerrero Negro,27.9769,-114.0611,72.03,50,0,11.77,MX,1654284363
108,Biak,-0.9131,122.8766,76.19,84,93,0.94,ID,1654284364
109,Pucallpa,-8.3791,-74.5539,73.44,100,75,5.75,PE,1654284205
110,Balsas,-7.5325,-46.0356,86.16,49,100,2.77,BR,1654284500
111,Ponta do Sol,32.6667,-17.1,68.34,70,50,3.56,PT,1654284296
112,Amposta,40.7131,0.581,74.23,69,0,5.5,ES,1654284501
113,Henties Bay,-22.116,14.2845,68.88,42,11,12.75,NA,1654284501
114,Hilo,19.7297,-155.09,77.31,82,75,9.22,US,1654284317
115,Hofn,64.2539,-15.2082,50.77,86,100,21.05,IS,1654284502
116,Atar,20.5169,-13.0499,98.1,17,100,13.42,MR,1654284502
117,Hithadhoo,-0.6,73.0833,84.42,69,86,13.56,MV,1654284409
118,Yellowknife,62.456,-114.3525,61.32,41,20,12.66,CA,1654284296
119,Kruisfontein,-34.0033,24.7314,56.26,27,0,5.66,ZA,1654284298
120,Srednekolymsk,67.45,153.6833,44.62,52,100,14.05,RU,1654284382
121,Bambanglipuro,-7.95,110.2833,74.86,83,54,2.73,ID,1654284503
122,Palmer,42.1584,-72.3287,78.21,50,40,9.22,US,1654284504
123,Mar del Plata,-38.0023,-57.5575,51.94,59,20,6.91,AR,1654284289
124,Half Moon Bay,37.4636,-122.4286,65.21,80,100,14.97,US,1654284380
125,Turbat,26.0023,63.044,89.13,37,5,7.16,PK,1654284506
126,Biysk,52.5364,85.2072,47.35,88,98,7.2,RU,1654284506
127,Port Macquarie,-31.4333,152.9167,48.88,91,90,7.2,AU,1654284507
128,Norfolk,42.1668,-71.2495,64.83,82,100,0.0,US,1654284021
129,Willowmore,-33.2926,23.4895,53.96,25,5,5.23,ZA,1654284507
130,Solnechnyy,50.7214,136.6319,42.78,97,86,3.8,RU,1654284507
131,Kutum,14.2,24.6667,82.6,31,32,9.33,SD,1654284312
132,Ponta Delgada,37.7333,-25.6667,66.92,88,75,6.91,PT,1654284444
133,Geraldton,-28.7667,114.6,55.81,71,100,9.22,AU,1654284358
134,‘Āhuimanu,21.4447,-157.8378,79.57,65,75,8.05,US,1654284435
135,Carnarvon,-24.8667,113.6333,64.11,44,6,14.34,AU,1654284319
136,Mufumbwe,-13.6833,24.8,56.19,62,37,5.59,ZM,1654284509
137,Villa Bruzual,9.3328,-69.1208,83.59,61,99,4.54,VE,1654284509
138,Maan,5.9339,124.7356,78.33,82,38,3.91,PH,1654284509
139,Te Anau,-45.4167,167.7167,36.05,90,49,1.01,NZ,1654284510
140,Sur,22.5667,59.5289,86.7,57,13,11.72,OM,1654284332
141,Norman Wells,65.282,-126.8329,53.64,66,75,23.02,CA,1654284294
142,George Town,5.4112,100.3354,78.85,88,20,3.44,MY,1654284338
143,Ishigaki,24.3448,124.1572,80.73,100,100,10.36,JP,1654284511
144,College,64.8569,-147.8028,71.37,34,40,6.91,US,1654284511
145,Ténenkou,14.4572,-4.9169,99.54,21,56,8.93,ML,1654284511
146,Bambous Virieux,-20.3428,57.7575,75.45,73,75,13.8,MU,1654284298
147,Iskateley,67.6803,53.1512,41.72,41,31,13.38,RU,1654284512
148,Vestmannaeyjar,63.4427,-20.2734,47.39,93,75,11.5,IS,1654284290
149,Visnes,59.3556,5.2242,50.07,81,75,21.85,NO,1654284513
150,Barrow,71.2906,-156.7887,30.22,80,100,19.57,US,1654284292
151,Abu Dhabi,24.4667,54.3667,85.98,59,0,2.3,AE,1654284328
152,Strezhevoy,60.7333,77.5889,34.36,72,100,8.99,RU,1654284513
153,Karratha,-20.7377,116.8463,64.51,61,1,12.08,AU,1654284513
154,Mapiripán,2.8892,-72.1256,72.54,97,100,6.02,CO,1654284514
155,Kumul,42.8,93.45,69.73,12,1,7.56,CN,1654284411
156,Mil'kovo,54.7167,158.6167,45.68,69,98,2.08,RU,1654284514
157,Hasaki,35.7333,140.8333,59.4,77,72,12.24,JP,1654284273
158,Isugod,9.3408,118.1196,79.54,84,11,0.58,PH,1654284515
159,Champerico,14.3,-91.9167,88.34,76,96,7.94,GT,1654284515
160,Saquena,-4.6667,-73.5167,78.96,79,98,3.53,PE,1654284516
161,Latung,5.5,120.8833,83.75,67,85,4.47,PH,1654284516
162,Kaitangata,-46.2817,169.8464,40.01,89,19,6.85,NZ,1654284383
163,Kabelvåg,68.2114,14.4817,53.49,76,40,14.97,NO,1654284516
164,Nyurba,63.2842,118.3319,52.45,79,15,4.47,RU,1654284517
165,Isangel,-19.55,169.2667,72.99,84,9,12.35,VU,1654284294
166,Vila Velha,-20.3297,-40.2925,74.95,87,100,15.99,BR,1654284118
167,Qaqortoq,60.7167,-46.0333,45.37,49,0,8.63,GL,1654284279
168,Talnakh,69.4865,88.3972,33.21,74,100,15.41,RU,1654284519
169,Beloha,-25.1667,45.05,66.42,74,0,13.47,MG,1654284519
170,Avarua,-21.2078,-159.775,77.05,69,75,16.11,CK,1654284314
171,Bredasdorp,-34.5322,20.0403,52.2,85,100,4.34,ZA,1654284110
172,Yerbogachën,61.2767,108.0108,43.3,75,100,2.75,RU,1654284520
173,Katsuura,35.1333,140.3,64.24,76,100,16.46,JP,1654284357
174,Kununurra,-15.7667,128.7333,78.78,69,21,5.75,AU,1654284520
175,Saiki,32.95,131.9,65.3,84,100,6.85,JP,1654284520
176,Batticaloa,7.7102,81.6924,81.01,76,100,3.62,LK,1654284521
177,Daru,-9.0763,143.2092,79.16,86,91,14.47,PG,1654284521
178,Barra do Bugres,-15.0725,-57.1811,88.41,39,74,4.88,BR,1654284522
179,Lüderitz,-26.6481,15.1594,66.04,31,0,5.82,NA,1654284281
180,Conde,-7.2597,-34.9075,78.26,83,75,2.3,BR,1654284526
181,Kharitonovo,61.4009,47.4978,61.95,46,63,12.24,RU,1654284527
182,Souillac,-20.5167,57.5167,75.58,73,75,13.8,MU,1654284527
183,Tuktoyaktuk,69.4541,-133.0374,32.0,86,100,12.66,CA,1654284296
184,Cabo Rojo,18.0866,-67.1457,84.85,74,28,5.99,PR,1654284527
185,Tutóia,-2.7619,-42.2744,80.65,83,100,3.27,BR,1654284528
186,Garden City,42.3256,-83.331,79.16,26,40,20.71,US,1654284318
187,Kiryat Gat,31.61,34.7642,70.16,58,0,4.9,IL,1654284528
188,Dennery,13.8996,-60.8879,84.33,84,40,24.16,LC,1654284529
189,Dunedin,-45.8742,170.5036,48.79,59,13,5.99,NZ,1654284285
190,Bukene,-4.2333,32.8833,70.12,46,33,3.89,TZ,1654284530
191,Pacific Grove,36.6177,-121.9166,62.13,85,75,8.05,US,1654284207
192,Longonjo,-12.9067,15.2533,60.04,45,60,2.75,AO,1654284530
193,Aldan,58.6031,125.3894,45.52,78,4,6.31,RU,1654284530
194,Rabat,33.9911,-6.8401,69.62,76,40,9.22,MA,1654284531
195,Nelson Bay,-32.7167,152.15,48.47,98,96,1.99,AU,1654284441
196,Port Hedland,-20.3167,118.5667,68.05,49,100,14.97,AU,1654284531
197,Coyhaique,-45.5752,-72.0662,37.35,75,75,4.61,CL,1654284531
198,San Quintín,30.4833,-115.95,66.74,67,11,10.36,MX,1654284440
199,Kloulklubed,7.0419,134.2556,82.45,70,19,2.19,PW,1654284253
200,Soe,-9.8607,124.284,64.45,94,89,4.27,ID,1654284532
201,Sulangan,11.1373,123.7228,83.8,74,22,6.93,PH,1654284532
202,Skjervøy,70.0311,20.9714,59.0,75,90,8.63,NO,1654284533
203,Mount Isa,-20.7333,139.5,60.57,77,100,11.5,AU,1654284533
204,Shahrud,36.4182,54.9763,71.04,29,0,7.36,IR,1654284534
205,Grand Gaube,-20.0064,57.6608,73.38,73,89,4.0,MU,1654284534
206,Casa Grande,32.8795,-111.7573,97.48,11,0,7.0,US,1654284287
207,Caravelas,-17.7125,-39.2481,77.23,75,95,7.2,BR,1654284294
208,Oktyabr'skoye,43.0645,44.7417,62.35,77,100,6.71,RU,1654284535
209,Aswān,24.0934,32.907,91.85,14,100,9.01,EG,1654284438
210,Oriximiná,-1.7656,-55.8661,82.18,82,83,3.89,BR,1654284536
211,Bud,39.447,-86.1758,80.06,32,0,8.86,US,1654284536
212,Mildura,-34.2,142.15,49.06,92,19,10.2,AU,1654284537
213,Pevek,69.7008,170.3133,29.17,92,100,17.58,RU,1654284345
214,Port Elizabeth,-33.918,25.5701,57.31,38,0,4.0,ZA,1654284425
215,Itimādpur,27.25,78.2,96.58,8,85,4.94,IN,1654284537
216,Cadillac,44.2519,-85.4012,69.71,26,40,20.71,US,1654284538
217,Estevan,49.1334,-102.9842,68.18,24,20,9.22,CA,1654284538
218,Saint George,37.1041,-113.5841,93.61,11,0,5.01,US,1654284410
219,Winchester,51.0651,-1.3187,63.75,53,0,10.36,GB,1654284539
220,Josanicka Banja,43.3895,20.7503,69.1,74,84,2.26,RS,1654284539
221,Devonport,-41.1667,146.35,46.09,86,9,10.6,AU,1654284327
222,Binga,-17.6203,27.3414,62.49,58,30,0.45,ZW,1654284540
223,Faya,18.3851,42.4509,72.12,20,16,18.97,SA,1654284540
224,Kalmar,56.6616,16.3616,57.15,69,100,6.87,SE,1654284246
225,Albury,-36.0833,146.9167,42.42,100,100,3.0,AU,1654284540
226,Richards Bay,-28.783,32.0377,65.05,74,0,11.95,ZA,1654284541
227,Kalnciems,56.8011,23.6097,55.45,85,94,6.78,LV,1654284541
228,Tashtyp,52.7939,89.8983,46.6,90,99,3.85,RU,1654284542
229,Taoudenni,22.6783,-3.9836,105.69,8,98,8.95,ML,1654284379
230,Belaya Gora,68.5333,146.4167,47.98,68,35,12.84,RU,1654284407
231,Shwebo,22.5667,95.7,84.74,62,92,14.43,MM,1654284542
232,Marzuq,14.4,46.4667,76.44,57,100,5.44,YE,1654284543
233,São João da Barra,-21.6403,-41.0511,75.29,72,98,15.7,BR,1654284543
234,Alofi,-19.0595,-169.9187,76.89,94,11,6.91,NU,1654284544
235,Siparia,10.1333,-61.5,81.48,78,98,11.14,TT,1654284544
236,Sidhi,24.4167,81.8833,94.46,15,100,5.17,IN,1654284544
237,Lavrentiya,65.5833,-171.0,44.74,68,100,4.61,RU,1654284374
238,Lebu,-37.6167,-73.65,51.71,95,100,20.56,CL,1654284287
239,Keokuk,40.3973,-91.3849,80.47,38,0,4.61,US,1654284545
240,Puerto Baquerizo Moreno,-0.9,-89.6,76.19,78,75,11.5,EC,1654284546
241,San Andrés,12.5847,-81.7006,86.02,74,75,4.61,CO,1654284449
242,Sarkand,45.41,79.9186,58.33,58,100,4.65,KZ,1654284546
243,Airai,-8.9266,125.4092,58.5,94,70,2.59,TL,1654284295
244,Nador,35.174,-2.9287,75.45,43,0,10.36,MA,1654284551
245,Bang Mun Nak,16.0278,100.3792,76.44,92,100,4.92,TH,1654284551
246,Pangody,65.85,74.4859,34.97,81,100,24.45,RU,1654284551
247,Sooke,48.3746,-123.7276,56.26,95,100,6.91,CA,1654284552
248,Chui,-33.6971,-53.4616,54.88,59,23,4.07,UY,1654284282
249,Torbay,47.6666,-52.7314,45.82,91,100,18.41,CA,1654284396
250,Chokurdakh,70.6333,147.9167,34.09,73,100,13.85,RU,1654284340
251,Dongsheng,39.8161,109.9776,56.03,72,2,5.95,CN,1654284552
252,Diamantino,-14.4086,-56.4461,89.19,40,11,7.02,BR,1654284553
253,Havøysund,70.9963,24.6622,52.03,82,100,9.01,NO,1654284133
254,Ngunguru,-35.6167,174.5,57.15,67,100,7.47,NZ,1654284554
255,Pampa,35.5362,-100.9599,73.42,68,75,18.41,US,1654284554
256,Nanortalik,60.1432,-45.2371,44.01,63,0,8.21,GL,1654284443
257,Sandakan,5.8402,118.1179,78.48,94,20,3.44,MY,1654284555
258,Rio de Janeiro,-22.9028,-43.2075,72.9,72,75,9.22,BR,1654284356
259,Rantauprapat,2.1,99.8333,72.45,96,100,0.74,ID,1654284555
260,Kirovsk,48.6375,38.6428,68.54,78,100,7.05,UA,1654284555
261,Madang,-5.2246,145.7966,76.42,89,100,4.09,PG,1654284556
262,Onega,63.9061,38.1404,57.88,99,100,4.81,RU,1654284556
263,Sabha,27.0377,14.4283,86.92,11,0,11.79,LY,1654284407
264,Sabirabad,40.0095,48.4752,74.48,35,7,8.66,AZ,1654284557
265,Cabo San Lucas,22.8909,-109.9124,81.14,50,0,6.91,MX,1654284280
266,Arawa,-6.2132,155.5367,75.31,92,19,2.44,PG,1654284558
267,Gogrial,8.5332,28.1004,85.51,39,100,5.68,SS,1654284558
268,Olinda,-8.0089,-34.8553,78.53,89,75,6.91,BR,1654284558
269,São Filipe,14.8961,-24.4956,77.85,66,74,14.25,CV,1654284328
270,Altay,47.8667,88.1167,50.83,51,8,4.7,CN,1654284403
271,Rapid Valley,44.0625,-103.1463,62.62,70,40,18.41,US,1654284559
272,Sorong,-0.8833,131.25,80.47,81,34,8.97,ID,1654284560
273,Yulara,-25.2406,130.9889,49.28,65,0,5.32,AU,1654284560
274,Pechora,65.1472,57.2244,42.12,49,0,10.8,RU,1654284560
275,Lompoc,34.6391,-120.4579,67.23,73,0,17.27,US,1654284263
276,Prince Rupert,54.3161,-130.3201,58.44,82,100,4.61,CA,1654284285
277,Molodizhne,48.1773,32.6601,62.58,85,2,8.97,UA,1654284561
278,Svetlaya,46.5389,138.3297,42.17,89,98,6.69,RU,1654284562
279,Laranjeiras do Sul,-25.4078,-52.4161,63.57,73,3,2.08,BR,1654284562
280,Harper,4.375,-7.7169,78.87,85,100,9.24,LR,1654284562
281,Kautokeino,69.0125,23.0412,52.23,80,93,5.79,NO,1654284415
282,Grindavik,63.8424,-22.4338,46.87,76,100,16.11,IS,1654284405
283,Barra de Tecoanapa,16.5167,-98.75,84.11,69,45,9.82,MX,1654284563
284,San Patricio,28.017,-97.5169,92.08,45,94,8.79,US,1654284564
285,Svarstad,59.399,9.9698,59.23,43,20,2.35,NO,1654284389
286,Takoradze,4.8845,-1.7554,80.1,80,61,13.06,GH,1654284424
287,Taltal,-25.4,-70.4833,65.79,49,99,3.83,CL,1654284407
288,Cururupu,-1.8283,-44.8683,75.65,92,100,2.8,BR,1654284566
289,Chernyshevskiy,63.0128,112.4714,51.44,75,100,6.4,RU,1654284567
290,Batasan,12.7667,120.7833,81.32,75,50,3.53,PH,1654284568
291,Springfield,37.2153,-93.2982,76.68,45,0,5.75,US,1654284026
