,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Eydhafushi,5.1033,73.0708,82.56,77,59,15.32,MV,1654194386
1,Jiazi,22.8779,116.067,79.68,90,96,8.48,CN,1654194386
2,Alice Springs,-23.7,133.8833,60.35,94,100,5.75,AU,1654194133
3,Hambantota,6.1241,81.1185,79.14,100,40,6.91,LK,1654194387
4,George Town,5.4112,100.3354,80.65,88,20,0.0,MY,1654194180
5,Leningradskiy,69.3833,178.4167,53.78,40,100,13.24,RU,1654194387
6,Thompson,55.7435,-97.8558,41.16,87,100,11.5,CA,1654194388
7,Jacmel,18.2342,-72.5347,93.04,65,99,9.57,HT,1654194388
8,Nyurba,63.2842,118.3319,52.45,70,37,5.1,RU,1654194388
9,Qaanaaq,77.484,-69.3632,30.13,82,99,10.76,GL,1654194389
10,Atuona,-9.8,-139.0333,78.67,72,29,19.66,PF,1654194389
11,Ilulissat,69.2167,-51.1,37.42,65,20,8.05,GL,1654194390
12,Cape Town,-33.9258,18.4232,58.03,73,0,5.75,ZA,1654194177
13,Salalah,17.0151,54.0924,86.09,70,20,8.05,OM,1654194391
14,Esperance,-33.8667,121.9,58.37,65,94,14.9,AU,1654194391
15,Saldanha,-33.0117,17.9442,53.65,77,0,12.33,ZA,1654194391
16,Bluff,-46.6,168.3333,46.8,71,96,18.63,NZ,1654194391
17,Klaksvík,62.2266,-6.589,47.32,84,18,8.21,FO,1654194392
18,Broome,42.2506,-75.833,73.38,57,0,5.99,US,1654194392
19,Kologriv,58.8275,44.3178,60.93,92,60,4.99,RU,1654194392
20,Saint Anthony,45.0205,-93.218,75.07,27,0,18.41,US,1654194393
21,Albany,42.6001,-73.9662,73.4,70,96,7.43,US,1654194337
22,Lompoc,34.6391,-120.4579,70.0,64,0,11.5,US,1654194393
23,Ribeira Grande,38.5167,-28.7,68.4,77,20,13.8,PT,1654194394
24,Butaritari,3.0707,172.7902,81.07,68,40,5.5,KI,1654194394
25,Rawson,-43.3002,-65.1023,51.8,30,52,21.65,AR,1654194395
26,Yellowknife,62.456,-114.3525,59.52,38,20,16.11,CA,1654194395
27,Vila Franca do Campo,37.7167,-25.4333,64.81,73,82,5.77,PT,1654194395
28,Mayskiy,47.6931,40.1025,72.81,60,11,9.6,RU,1654194396
29,Shangzhi,45.2167,127.9667,49.53,88,46,3.96,CN,1654194396
30,Rikitea,-23.1203,-134.9692,77.31,80,59,18.5,PF,1654194397
31,Vila do Maio,15.1333,-23.2167,73.74,86,29,19.71,CV,1654194397
32,Fairbanks,64.8378,-147.7164,66.43,41,40,4.61,US,1654194302
33,Nikolskoye,59.7035,30.7861,64.29,56,86,4.29,RU,1654194398
34,Ushuaia,-54.8,-68.3,37.06,65,0,1.14,AR,1654194398
35,Bredasdorp,-34.5322,20.0403,53.46,77,14,0.78,ZA,1654194398
36,Aripuanã,-9.1667,-60.6333,87.6,55,33,3.15,BR,1654194399
37,New Norfolk,-42.7826,147.0587,41.88,82,100,2.33,AU,1654194399
38,Ponta do Sol,32.6667,-17.1,70.43,72,62,9.95,PT,1654194400
39,Vestmannaeyjar,63.4427,-20.2734,47.39,87,75,6.91,IS,1654194400
40,Tura,25.5198,90.2201,73.69,97,26,6.53,IN,1654194400
41,Illela,13.7292,5.2975,98.33,16,1,9.48,NG,1654194401
42,Hjelset,62.7833,7.4833,52.77,82,75,5.75,NO,1654194401
43,Vila Velha,-20.3297,-40.2925,89.94,50,0,10.36,BR,1654194402
44,General Pico,-35.6566,-63.7568,57.43,31,33,8.03,AR,1654194402
45,Saint-Augustin,51.226,-58.6502,48.58,74,99,27.89,CA,1654194403
46,Tasiilaq,65.6145,-37.6368,35.76,91,84,2.26,GL,1654194403
47,Atambua,-9.1061,124.8925,73.42,90,83,2.77,ID,1654194403
48,Vestmanna,62.1564,-7.1664,45.52,87,66,11.5,FO,1654194404
49,Sept-Îles,50.2001,-66.3821,56.23,61,20,8.05,CA,1654194302
50,Punta Arenas,-53.15,-70.9167,41.11,75,20,13.8,CL,1654194258
51,Port Elizabeth,-33.918,25.5701,53.71,89,0,4.61,ZA,1654194405
52,Tabou,4.423,-7.3528,80.46,81,65,6.35,CI,1654194405
53,Ashquelon,31.6693,34.5715,70.23,80,0,2.04,IL,1654194406
54,San Patricio,28.017,-97.5169,90.59,36,32,6.67,US,1654194406
55,Hasaki,35.7333,140.8333,63.0,81,6,14.5,JP,1654194407
56,Araouane,18.9048,-3.5265,106.02,7,11,10.31,ML,1654194407
57,Christiansburg,37.1298,-80.4089,83.03,60,75,6.91,US,1654194407
58,Lagoa,39.05,-27.9833,62.94,93,76,10.02,PT,1654194408
59,Tuktoyaktuk,69.4541,-133.0374,33.8,86,100,13.8,CA,1654194408
60,Saint Paul Harbor,57.79,-152.4072,65.71,34,75,8.05,US,1654194408
61,Port Alfred,-33.5906,26.891,57.78,80,7,3.78,ZA,1654194409
62,Busselton,-33.65,115.3333,56.82,71,99,8.41,AU,1654194409
63,Kaitangata,-46.2817,169.8464,46.53,86,100,14.45,NZ,1654194410
64,Karak,31.1667,35.75,70.72,39,0,9.48,JO,1654194410
65,Inhambane,-23.865,35.3833,69.78,69,58,9.13,MZ,1654194411
66,Pangody,65.85,74.4859,30.07,91,100,22.91,RU,1654194411
67,Iquique,-20.2208,-70.1431,64.44,69,100,5.91,CL,1654194412
68,Chongwe,-15.3292,28.682,55.6,69,64,5.41,ZM,1654194412
69,Nome,64.5011,-165.4064,35.67,93,100,3.44,US,1654194413
70,Camalú,30.85,-116.0667,68.83,64,58,7.36,MX,1654194413
71,Hermanus,-34.4187,19.2345,57.92,73,8,3.09,ZA,1654194414
72,Kapaa,22.0752,-159.319,75.2,84,40,8.05,US,1654194414
73,Kuala Terengganu,5.3302,103.1408,78.75,94,20,1.14,MY,1654194415
74,Wanning,18.8003,110.3967,81.55,89,79,12.95,CN,1654194415
75,Ureki,41.9956,41.7786,67.96,88,83,10.09,GE,1654194416
76,Saskylakh,71.9167,114.0833,34.92,96,100,3.6,RU,1654194416
77,Faanui,-16.4833,-151.75,78.66,79,100,14.7,PF,1654194416
78,College Station,30.628,-96.3344,81.88,70,75,11.5,US,1654194167
79,Pagudpud,18.5616,120.7868,79.75,83,93,4.9,PH,1654194417
80,Maceió,-9.6658,-35.7353,78.24,83,75,4.61,BR,1654194252
81,Black River,18.0264,-77.8487,86.9,61,97,21.3,JM,1654194417
82,Hobart,-42.8794,147.3294,42.15,85,100,8.05,AU,1654194371
83,Mahébourg,-20.4081,57.7,73.69,78,75,5.75,MU,1654194418
84,Vaini,-21.2,-175.2,75.36,94,75,3.44,TO,1654194418
85,Baculin,7.4525,126.5842,76.91,84,86,4.83,PH,1654194419
86,Hirara,24.8,125.2833,81.55,86,93,11.3,JP,1654194419
87,Pangnirtung,66.1451,-65.7125,39.2,75,20,8.05,CA,1654194420
88,Portland,45.5234,-122.6762,67.86,73,75,4.61,US,1654194181
89,Monteagudo,-19.8167,-63.9833,64.13,56,100,4.14,BO,1654194420
90,Padang,-0.9492,100.3543,76.62,84,100,3.85,ID,1654194421
91,Aykhal,66.0,111.5,49.87,68,87,8.32,RU,1654194421
92,Castro,-24.7911,-50.0119,59.63,91,100,2.66,BR,1654194422
93,Puerto Ayora,-0.7393,-90.3518,73.54,92,95,10.0,EC,1654194422
94,Yerbogachën,61.2767,108.0108,55.11,56,99,6.69,RU,1654194423
95,Raipur,21.2333,81.6333,96.94,30,75,4.61,IN,1654194423
96,Mataura,-46.1927,168.8643,46.47,92,100,7.72,NZ,1654194423
97,Luanda,-8.8368,13.2343,73.02,88,53,12.84,AO,1654194424
98,Sabang,5.8933,95.3214,80.29,81,95,27.83,ID,1654194424
99,Barrow,71.2906,-156.7887,24.82,86,100,8.05,US,1654194280
100,Hashtrūd,37.4779,47.0508,68.49,42,17,5.68,IR,1654194425
101,Ust-Maya,60.4167,134.5333,48.04,80,39,3.78,RU,1654194426
102,Povorino,51.1945,42.2457,67.21,73,25,9.04,RU,1654194426
103,Chara,56.9064,118.2631,50.0,73,65,3.36,RU,1654194426
104,Ghanzi,-21.5667,21.7833,54.91,26,0,8.61,BW,1654194427
105,Port Hawkesbury,45.6169,-61.3485,50.49,74,100,16.11,CA,1654194427
106,Carutapera,-1.195,-46.02,85.28,64,88,8.21,BR,1654194427
107,Chodavaram,17.8333,82.95,85.84,72,71,2.13,IN,1654194428
108,Katsuura,35.1333,140.3,68.76,83,3,14.05,JP,1654194428
109,Bend,44.0582,-121.3153,68.05,50,0,4.61,US,1654194153
110,Sakakah,29.9697,40.2064,90.97,5,92,8.3,SA,1654194428
111,Sistranda,63.7256,8.834,53.56,90,86,7.52,NO,1654194246
112,Carnarvon,-24.8667,113.6333,63.93,47,0,15.7,AU,1654194429
113,Severo-Kuril'sk,50.6789,156.125,42.24,90,100,5.75,RU,1654194430
114,Trat,12.5,102.5,84.87,88,100,1.66,TH,1654194431
